"";"nombre";"region";"provincia";"comuna";"cut_r";"cut_p";"cut";"hogares";"hectareas";"area";"observaciones";"año"
"58";"Valle El Dorado";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;107;4,04447823;28365,117586615;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"59";"Monte Sinaí";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;266;15,36682721;107775,38856663;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"60";"Manuel Bustos";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;1647;90,19148318;632714,380462545;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"61";"Amanecer";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;63;2,24344437;15741,31845887;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"62";"Final Pedro De Valdivia";"Valparaíso";"Quillota";"Calera";"05";"055";5502;22;0,40681852;2868,26531087;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"63";"Reñaca Alto";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;663;39,12023665;274523,396257885;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"64";"Los Almendros";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;12;0,68997067;4840,582362655;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"65";"Simpson";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;23;1,09776306;7696,49203534;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"66";"Pasaje Las Torres";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;30;1,17464332;8234,08505053;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"67";"Quebrada La Fábrica (Ex Lancheros Del Bongo, Sector 3)";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;21;2,79713052;19608,925620485;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2019"
